method,round,scale,run_id,preservation_mean,preservation_std,preservation_n,abs_exact_match,abs_mean_f1,abs_contains,abs_fact_mean_f1,abs_fact_worst_f1,abs_contains_any_phrasing,abs_contains_all_phrasings,abs_n_facts,abs_n_probes,loc_same_entity_f1,loc_same_entity_acc,loc_same_entity_n,loc_other_sector_f1,loc_other_sector_acc,loc_other_sector_n,loc_same_sector_f1,loc_same_sector_acc,loc_same_sector_n,loc_overall_f1,loc_overall_acc,loc_overall_n,comp_exact_match,comp_contains_final_answer,comp_contains_bridging_entity,comp_token_f1,comp_n_probes
copr_anchored,3,200,seq_copr_anchored_round_3_qd_scale200,0.23717948717948717,0.3441298854222961,104,0.005405405405405406,0.03114020336418119,0.016216216216216217,0.03931572543008441,0.026675310289669265,0.02,0.01,200,370,0.04353837869161374,0.04353837869161374,182,0.04098619147889407,0.04098619147889407,1817,0.0,0.0,1,0.04119794741951211,0.04119794741951211,2000,,,,,
copr_anchored,4,200,seq_copr_anchored_round_4_qd_scale200,0.23076923076923078,0.35227260677010475,104,0.007425742574257425,0.07515163411343423,0.01485148514851485,0.06258224718508341,0.031315458418294646,0.025,0.0,200,404,0.03353064652042943,0.03353064652042943,182,0.03451495691395139,0.03451495691395139,1817,0.16666666666666669,0.16666666666666669,1,0.034491460523017256,0.034491460523017256,2000,,,,,
copr_anchored,5,200,seq_copr_anchored_round_5_qd_scale200,0.24839743589743588,0.3459126355691807,104,0.014527845036319613,0.06581388590361671,0.021791767554479417,0.059266785502079616,0.04273900772430184,0.03,0.015,200,413,0.02005962652404625,0.02005962652404625,182,0.028191957776084024,0.028191957776084024,1817,0.0,0.0,1,0.027437819653260545,0.027437819653260545,2000,,,,,
copr_anchored,8,200,seq_copr_anchored_round_8_qd_scale200,0.24358974358974358,0.34969696658938093,104,0.030379746835443037,0.059873906745123044,0.03291139240506329,0.05720731502796719,0.043536680107332276,0.03,0.025,200,395,0.02947314123784712,0.02947314123784712,182,0.032353870899455184,0.032353870899455184,1817,0.0,0.0,1,0.03207554756479912,0.03207554756479912,2000,,,,,
copr_anchored,9,200,seq_copr_anchored_round_9_qd_scale200,0.22756410256410253,0.3497997689671818,104,0.002531645569620253,0.039933694996986145,0.002531645569620253,0.03921825396825398,0.017880952380952383,0.005,0.0,200,395,0.012037962037962037,0.012037962037962037,182,0.021706686036925743,0.021706686036925743,1817,0.0,0.0,1,0.020815978810001582,0.020815978810001582,2000,,,,,
copr_anchored,10,200,seq_copr_anchored_round_10_qd_scale200,0.23878205128205127,0.3578816645648247,104,0.012376237623762377,0.06562549112054061,0.01485148514851485,0.048123015873015866,0.014039682539682541,0.025,0.0,200,404,0.02027972027972028,0.02027972027972028,182,0.02825369484226069,0.02825369484226069,1817,0.0,0.0,1,0.027513936309648383,0.027513936309648383,2000,0.004,0.01,0.014,0.024597410006285576,500
copr_gold_injection,1,200,seq_copr_gold_injection_round_1_qd_scale200,0.23557692307692307,0.34328928093901584,104,0.010126582278481013,0.06898689088566845,0.02278481012658228,0.06692860228590126,0.03923569339173883,0.035,0.01,200,395,0.017533705831183695,0.017533705831183695,182,0.023899585636107713,0.023899585636107713,1817,0.0,0.0,1,0.023308340781041572,0.023308340781041572,2000,,,,,
copr_gold_injection,2,200,seq_copr_gold_injection_round_2_qd_scale200,0.24999999999999997,0.35051854139723887,104,0.02557544757033248,0.08591222942016981,0.03580562659846547,0.08046305256519368,0.058382041256241204,0.03,0.025,200,391,0.03971585633021108,0.03971585633021108,182,0.032477652693802844,0.032477652693802844,1817,0.0,0.0,1,0.03312009039836909,0.03312009039836909,2000,,,,,
copr_gold_injection,3,200,seq_copr_gold_injection_round_3_qd_scale200,0.23557692307692307,0.33302114942324923,104,0.01891891891891892,0.08092280995338655,0.03783783783783784,0.07269911731357875,0.04704443573784456,0.045,0.025,200,370,0.04334958519742328,0.04334958519742328,182,0.037093188400457146,0.037093188400457146,1817,0.0,0.0,1,0.03764397391478084,0.03764397391478084,2000,,,,,
copr_gold_injection,4,200,seq_copr_gold_injection_round_4_qd_scale200,0.22435897435897434,0.3371331741616591,104,0.01485148514851485,0.11445535989073995,0.019801980198019802,0.10470330683277455,0.06723480866427638,0.025,0.0,200,404,0.06122301367765543,0.06122301367765543,182,0.04716481690123367,0.04716481690123367,1817,0.0,0.0,1,0.04842053039943743,0.04842053039943743,2000,,,,,
